index,subject,lag,prob,source,positive
0,1,-5,0.0,data,False
1,1,-4,0.0,data,False
2,1,-3,0.06896551724137931,data,False
3,1,-2,0.07142857142857142,data,False
4,1,-1,0.08333333333333333,data,False
5,1,0,,data,False
6,1,1,0.19230769230769232,data,True
7,1,2,0.08695652173913043,data,True
8,1,3,0.0,data,True
9,1,4,0.0,data,True
10,1,5,0.0,data,True
0,2,-5,0.07692307692307693,data,False
1,2,-4,0.034482758620689655,data,False
2,2,-3,0.0,data,False
3,2,-2,0.0,data,False
4,2,-1,0.041666666666666664,data,False
5,2,0,,data,False
6,2,1,0.24242424242424243,data,True
7,2,2,0.0,data,True
8,2,3,0.0,data,True
9,2,4,0.034482758620689655,data,True
10,2,5,0.08,data,True
0,3,-5,0.03225806451612903,data,False
1,3,-4,0.14705882352941177,data,False
2,3,-3,0.0,data,False
3,3,-2,0.03571428571428571,data,False
4,3,-1,0.06896551724137931,data,False
5,3,0,,data,False
6,3,1,0.09375,data,True
7,3,2,0.0967741935483871,data,True
8,3,3,0.0625,data,True
9,3,4,0.0,data,True
10,3,5,0.08695652173913043,data,True
0,5,-5,0.05405405405405406,data,False
1,5,-4,0.04878048780487805,data,False
2,5,-3,0.09302325581395349,data,False
3,5,-2,0.14,data,False
4,5,-1,0.2,data,False
5,5,0,,data,False
6,5,1,0.1951219512195122,data,True
7,5,2,0.15384615384615385,data,True
8,5,3,0.09523809523809523,data,True
9,5,4,0.045454545454545456,data,True
10,5,5,0.044444444444444446,data,True
0,6,-5,0.0,data,False
1,6,-4,0.0,data,False
2,6,-3,0.08695652173913043,data,False
3,6,-2,0.09523809523809523,data,False
4,6,-1,0.041666666666666664,data,False
5,6,0,,data,False
6,6,1,0.14285714285714285,data,True
7,6,2,0.1724137931034483,data,True
8,6,3,0.08,data,True
9,6,4,0.0,data,True
10,6,5,0.08,data,True
0,7,-5,0.0,data,False
1,7,-4,0.08,data,False
2,7,-3,0.03333333333333333,data,False
3,7,-2,0.10344827586206896,data,False
4,7,-1,0.08,data,False
5,7,0,,data,False
6,7,1,0.2222222222222222,data,True
7,7,2,0.09090909090909091,data,True
8,7,3,0.030303030303030304,data,True
9,7,4,0.06451612903225806,data,True
10,7,5,0.034482758620689655,data,True
0,8,-5,0.07142857142857142,data,False
1,8,-4,0.13333333333333333,data,False
2,8,-3,0.07692307692307693,data,False
3,8,-2,0.0,data,False
4,8,-1,0.05555555555555555,data,False
5,8,0,,data,False
6,8,1,0.08333333333333333,data,True
7,8,2,0.043478260869565216,data,True
8,8,3,0.125,data,True
9,8,4,0.05263157894736842,data,True
10,8,5,0.0,data,True
0,9,-5,0.05263157894736842,data,False
1,9,-4,0.0,data,False
2,9,-3,0.02857142857142857,data,False
3,9,-2,0.06451612903225806,data,False
4,9,-1,0.32432432432432434,data,False
5,9,0,,data,False
6,9,1,0.1111111111111111,data,True
7,9,2,0.23255813953488372,data,True
8,9,3,0.0,data,True
9,9,4,0.025,data,True
10,9,5,0.02702702702702703,data,True
0,10,-5,0.037037037037037035,data,False
1,10,-4,0.0,data,False
2,10,-3,0.0,data,False
3,10,-2,0.041666666666666664,data,False
4,10,-1,0.07407407407407407,data,False
5,10,0,,data,False
6,10,1,0.16666666666666666,data,True
7,10,2,0.21739130434782608,data,True
8,10,3,0.05,data,True
9,10,4,0.0,data,True
10,10,5,0.0,data,True
0,11,-5,0.08333333333333333,data,False
1,11,-4,0.038461538461538464,data,False
2,11,-3,0.0,data,False
3,11,-2,0.0,data,False
4,11,-1,0.07142857142857142,data,False
5,11,0,,data,False
6,11,1,0.14814814814814814,data,True
7,11,2,0.1111111111111111,data,True
8,11,3,0.03571428571428571,data,True
9,11,4,0.043478260869565216,data,True
10,11,5,0.0,data,True
0,12,-5,0.045454545454545456,data,False
1,12,-4,0.0,data,False
2,12,-3,0.0,data,False
3,12,-2,0.08333333333333333,data,False
4,12,-1,0.25,data,False
5,12,0,,data,False
6,12,1,0.1875,data,True
7,12,2,0.0,data,True
8,12,3,0.0,data,True
9,12,4,0.0,data,True
10,12,5,0.0,data,True
0,13,-5,0.09090909090909091,data,False
1,13,-4,0.0,data,False
2,13,-3,0.0,data,False
3,13,-2,0.045454545454545456,data,False
4,13,-1,0.18181818181818182,data,False
5,13,0,,data,False
6,13,1,0.05555555555555555,data,True
7,13,2,0.0,data,True
8,13,3,0.0,data,True
9,13,4,0.0,data,True
10,13,5,0.0,data,True
0,14,-5,0.04,data,False
1,14,-4,0.06896551724137931,data,False
2,14,-3,0.0625,data,False
3,14,-2,0.029411764705882353,data,False
4,14,-1,0.09090909090909091,data,False
5,14,0,,data,False
6,14,1,0.15555555555555556,data,True
7,14,2,0.05263157894736842,data,True
8,14,3,0.05405405405405406,data,True
9,14,4,0.06976744186046512,data,True
10,14,5,0.02702702702702703,data,True
0,15,-5,0.0,data,False
1,15,-4,0.05263157894736842,data,False
2,15,-3,0.0,data,False
3,15,-2,0.0967741935483871,data,False
4,15,-1,0.08571428571428572,data,False
5,15,0,,data,False
6,15,1,0.03333333333333333,data,True
7,15,2,0.03125,data,True
8,15,3,0.07407407407407407,data,True
9,15,4,0.043478260869565216,data,True
10,15,5,0.09090909090909091,data,True
0,16,-5,0.045454545454545456,data,False
1,16,-4,0.0,data,False
2,16,-3,0.045454545454545456,data,False
3,16,-2,0.0,data,False
4,16,-1,0.038461538461538464,data,False
5,16,0,,data,False
6,16,1,0.04,data,True
7,16,2,0.18518518518518517,data,True
8,16,3,0.0,data,True
9,16,4,0.0,data,True
10,16,5,0.0,data,True
0,17,-5,0.08333333333333333,data,False
1,17,-4,0.037037037037037035,data,False
2,17,-3,0.038461538461538464,data,False
