index,subject,lag,prob,source,positive
0,1,-5,0.043478260869565216,data,False
1,1,-4,0.07692307692307693,data,False
2,1,-3,0.03125,data,False
3,1,-2,0.09090909090909091,data,False
4,1,-1,0.2702702702702703,data,False
5,1,0,,data,False
6,1,1,0.36065573770491804,data,True
7,1,2,0.22950819672131148,data,True
8,1,3,0.016666666666666666,data,True
9,1,4,0.05084745762711865,data,True
10,1,5,0.05084745762711865,data,True
0,2,-5,0.030303030303030304,data,False
1,2,-4,0.029411764705882353,data,False
2,2,-3,0.05714285714285714,data,False
3,2,-2,0.11428571428571428,data,False
4,2,-1,0.1388888888888889,data,False
5,2,0,,data,False
6,2,1,0.18181818181818182,data,True
7,2,2,0.05,data,True
8,2,3,0.05128205128205128,data,True
9,2,4,0.05263157894736842,data,True
10,2,5,0.030303030303030304,data,True
0,3,-5,0.0,data,False
1,3,-4,0.06896551724137931,data,False
2,3,-3,0.06060606060606061,data,False
3,3,-2,0.09375,data,False
4,3,-1,0.06060606060606061,data,False
5,3,0,,data,False
6,3,1,0.14705882352941177,data,True
7,3,2,0.06060606060606061,data,True
8,3,3,0.06060606060606061,data,True
9,3,4,0.058823529411764705,data,True
10,3,5,0.0625,data,True
0,5,-5,0.023255813953488372,data,False
1,5,-4,0.05128205128205128,data,False
2,5,-3,0.025,data,False
3,5,-2,0.125,data,False
4,5,-1,0.2564102564102564,data,False
5,5,0,,data,False
6,5,1,0.41509433962264153,data,True
7,5,2,0.1836734693877551,data,True
8,5,3,0.10638297872340426,data,True
9,5,4,0.06666666666666667,data,True
10,5,5,0.0,data,True
0,6,-5,0.0,data,False
1,6,-4,0.0,data,False
2,6,-3,0.09090909090909091,data,False
3,6,-2,0.08695652173913043,data,False
4,6,-1,0.11538461538461539,data,False
5,6,0,,data,False
6,6,1,0.1875,data,True
7,6,2,0.0967741935483871,data,True
8,6,3,0.03225806451612903,data,True
9,6,4,0.03333333333333333,data,True
10,6,5,0.03571428571428571,data,True
0,7,-5,0.03571428571428571,data,False
1,7,-4,0.0,data,False
2,7,-3,0.06451612903225806,data,False
3,7,-2,0.06451612903225806,data,False
4,7,-1,0.0625,data,False
5,7,0,,data,False
6,7,1,0.20588235294117646,data,True
7,7,2,0.09375,data,True
8,7,3,0.0,data,True
9,7,4,0.0625,data,True
10,7,5,0.0,data,True
0,8,-5,0.0,data,False
1,8,-4,0.0,data,False
2,8,-3,0.16666666666666666,data,False
3,8,-2,0.0,data,False
4,8,-1,0.14285714285714285,data,False
5,8,0,,data,False
6,8,1,0.125,data,True
7,8,2,0.1111111111111111,data,True
8,8,3,0.06666666666666667,data,True
9,8,4,0.058823529411764705,data,True
10,8,5,0.0,data,True
0,9,-5,0.04,data,False
1,9,-4,0.038461538461538464,data,False
2,9,-3,0.03508771929824561,data,False
3,9,-2,0.1,data,False
4,9,-1,0.38095238095238093,data,False
5,9,0,,data,False
6,9,1,0.6585365853658537,data,True
7,9,2,0.11428571428571428,data,True
8,9,3,0.03225806451612903,data,True
9,9,4,0.0,data,True
10,9,5,0.03225806451612903,data,True
0,10,-5,0.06666666666666667,data,False
1,10,-4,0.05405405405405406,data,False
2,10,-3,0.030303030303030304,data,False
3,10,-2,0.058823529411764705,data,False
4,10,-1,0.13333333333333333,data,False
5,10,0,,data,False
6,10,1,0.22857142857142856,data,True
7,10,2,0.0,data,True
8,10,3,0.03333333333333333,data,True
9,10,4,0.0,data,True
10,10,5,0.04,data,True
0,11,-5,0.030303030303030304,data,False
1,11,-4,0.029411764705882353,data,False
2,11,-3,0.05405405405405406,data,False
3,11,-2,0.09090909090909091,data,False
4,11,-1,0.06666666666666667,data,False
5,11,0,,data,False
6,11,1,0.30952380952380953,data,True
7,11,2,0.025,data,True
8,11,3,0.0,data,True
9,11,4,0.02702702702702703,data,True
10,11,5,0.0,data,True
0,12,-5,0.09090909090909091,data,False
1,12,-4,0.0,data,False
2,12,-3,0.0,data,False
3,12,-2,0.16666666666666666,data,False
4,12,-1,0.25,data,False
5,12,0,,data,False
6,12,1,0.2916666666666667,data,True
7,12,2,0.07142857142857142,data,True
8,12,3,0.0,data,True
9,12,4,0.0,data,True
10,12,5,0.0,data,True
0,13,-5,0.0,data,False
1,13,-4,0.038461538461538464,data,False
2,13,-3,0.07407407407407407,data,False
3,13,-2,0.03571428571428571,data,False
4,13,-1,0.13793103448275862,data,False
5,13,0,,data,False
6,13,1,0.24390243902439024,data,True
7,13,2,0.046511627906976744,data,True
8,13,3,0.02702702702702703,data,True
9,13,4,0.02564102564102564,data,True
10,13,5,0.02702702702702703,data,True
0,14,-5,0.02702702702702703,data,False
1,14,-4,0.0,data,False
2,14,-3,0.0,data,False
3,14,-2,0.1,data,False
4,14,-1,0.1951219512195122,data,False
5,14,0,,data,False
6,14,1,0.19047619047619047,data,True
7,14,2,0.024390243902439025,data,True
8,14,3,0.0,data,True
9,14,4,0.025,data,True
10,14,5,0.08108108108108109,data,True
0,15,-5,0.06451612903225806,data,False
1,15,-4,0.05555555555555555,data,False
2,15,-3,0.02631578947368421,data,False
3,15,-2,0.075,data,False
4,15,-1,0.25,data,False
5,15,0,,data,False
6,15,1,0.22916666666666666,data,True
7,15,2,0.044444444444444446,data,True
8,15,3,0.023255813953488372,data,True
9,15,4,0.04878048780487805,data,True
10,15,5,0.04878048780487805,data,True
0,16,-5,0.0,data,False
1,16,-4,0.05263157894736842,data,False
2,16,-3,0.05555555555555555,data,False
3,16,-2,0.05,data,False
4,16,-1,0.19047619047619047,data,False
5,16,0,,data,False
6,16,1,0.047619047619047616,data,True
7,16,2,0.0,data,True
8,16,3,0.10526315789473684,data,True
9,16,4,0.05555555555555555,data,True
10,16,5,0.08695652173913043,data,True
0,17,-5,0.0967741935483871,data,False
1,17,-4,0.07407407407407407,data,False
2,17,-3,0.0,data,False
3,17,-2,0.03571428571428571,data,False
4,17,-1,0.14814814814814814,data,False
5,17,0,,data,False
6,17,1,0.35714285714285715,data,True
7,17,2,0.06976744186046512,data,True
8,17,3,0.027777777777777776,data,True
9,17,4,0.0,data,True
10,17,5,0.0,data,True
0,18,-5,0.034482758620689655,data,False
1,18,-4,0.03333333333333333,data,False
2,18,-3,0.034482758620689655,data,False
3,18,-2,0.07142857142857142,data,False
4,18,-1,0.1,data,False
5,18,0,,data,False
6,18,1,0.08333333333333333,data,True
7,18,2,0.07692307692307693,data,True
8,18,3,0.08333333333333333,data,True
9,18,4,0.0,data,True
10,18,5,0.0,data,True
0,19,-5,0.058823529411764705,data,False
1,19,-4,0.06060606060606061,data,False
2,19,-3,0.030303030303030304,data,False
3,19,-2,0.08333333333333333,data,False
4,19,-1,0.029411764705882353,data,False
5,19,0,,data,False
6,19,1,0.23076923076923078,data,True
7,19,2,0.08571428571428572,data,True
8,19,3,0.058823529411764705,data,True
9,19,4,0.058823529411764705,data,True
10,19,5,0.03571428571428571,data,True
0,20,-5,0.03571428571428571,data,False
1,20,-4,0.07407407407407407,data,False
2,20,-3,0.07407407407407407,data,False
3,20,-2,0.07692307692307693,data,False
4,20,-1,0.2,data,False
5,20,0,,data,False
6,20,1,0.26666666666666666,data,True
7,20,2,0.058823529411764705,data,True
8,20,3,0.03225806451612903,data,True
9,20,4,0.0,data,True
10,20,5,0.03333333333333333,data,True
0,21,-5,0.07142857142857142,data,False
1,21,-4,0.09375,data,False
2,21,-3,0.05714285714285714,data,False
3,21,-2,0.0,data,False
4,21,-1,0.1,data,False
5,21,0,,data,False
6,21,1,0.15789473684210525,data,True
7,21,2,0.13157894736842105,data,True
8,21,3,0.02857142857142857,data,True
9,21,4,0.03225806451612903,data,True
10,21,5,0.07407407407407407,data,True
0,22,-5,0.07142857142857142,data,False
1,22,-4,0.03333333333333333,data,False
2,22,-3,0.0,data,False
3,22,-2,0.02702702702702703,data,False
4,22,-1,0.10256410256410256,data,False
5,22,0,,data,False
6,22,1,0.3157894736842105,data,True
7,22,2,0.1388888888888889,data,True
8,22,3,0.05,data,True
9,22,4,0.0,data,True
10,22,5,0.10256410256410256,data,True
0,23,-5,0.05,data,False
1,23,-4,0.0,data,False
2,23,-3,0.041666666666666664,data,False
3,23,-2,0.043478260869565216,data,False
4,23,-1,0.13636363636363635,data,False
5,23,0,,data,False
6,23,1,0.3,data,True
7,23,2,0.0,data,True
8,23,3,0.0,data,True
9,23,4,0.0,data,True
10,23,5,0.0,data,True
0,24,-5,0.08333333333333333,data,False
1,24,-4,0.04,data,False
2,24,-3,0.1111111111111111,data,False
3,24,-2,0.037037037037037035,data,False
4,24,-1,0.11538461538461539,data,False
5,24,0,,data,False
6,24,1,0.037037037037037035,data,True
7,24,2,0.0,data,True
8,24,3,0.0,data,True
9,24,4,0.0,data,True
10,24,5,0.0,data,True
0,25,-5,0.03225806451612903,data,False
1,25,-4,0.06666666666666667,data,False
2,25,-3,0.08333333333333333,data,False
3,25,-2,0.02857142857142857,data,False
4,25,-1,0.030303030303030304,data,False
5,25,0,,data,False
6,25,1,0.21951219512195122,data,True
7,25,2,0.02857142857142857,data,True
8,25,3,0.03225806451612903,data,True
9,25,4,0.06896551724137931,data,True
10,25,5,0.03225806451612903,data,True
0,26,-5,0.0,data,False
1,26,-4,0.02857142857142857,data,False
2,26,-3,0.0,data,False
3,26,-2,0.02857142857142857,data,False
4,26,-1,0.1282051282051282,data,False
5,26,0,,data,False
6,26,1,0.17142857142857143,data,True
7,26,2,0.08108108108108109,data,True
8,26,3,0.0,data,True
9,26,4,0.027777777777777776,data,True
10,26,5,0.0,data,True
0,28,-5,0.027777777777777776,data,False
1,28,-4,0.05,data,False
2,28,-3,0.020833333333333332,data,False
3,28,-2,0.08888888888888889,data,False
4,28,-1,0.20930232558139536,data,False
5,28,0,,data,False
6,28,1,0.2549019607843137,data,True
7,28,2,0.14285714285714285,data,True
8,28,3,0.0,data,True
9,28,4,0.047619047619047616,data,True
10,28,5,0.06666666666666667,data,True
0,30,-5,0.0,data,False
1,30,-4,0.043478260869565216,data,False
2,30,-3,0.043478260869565216,data,False
3,30,-2,0.07407407407407407,data,False
4,30,-1,0.3,data,False
5,30,0,,data,False
6,30,1,0.42105263157894735,data,True
7,30,2,0.1694915254237288,data,True
8,30,3,0.05,data,True
9,30,4,0.05357142857142857,data,True
10,30,5,0.03571428571428571,data,True
0,31,-5,0.08823529411764706,data,False
1,31,-4,0.0,data,False
2,31,-3,0.05263157894736842,data,False
3,31,-2,0.05405405405405406,data,False
4,31,-1,0.1388888888888889,data,False
5,31,0,,data,False
6,31,1,0.25806451612903225,data,True
7,31,2,0.03125,data,True
8,31,3,0.034482758620689655,data,True
9,31,4,0.06666666666666667,data,True
10,31,5,0.0,data,True
0,32,-5,0.0,data,False
1,32,-4,0.06896551724137931,data,False
2,32,-3,0.0,data,False
3,32,-2,0.0,data,False
4,32,-1,0.21428571428571427,data,False
5,32,0,,data,False
6,32,1,0.13793103448275862,data,True
7,32,2,0.0,data,True
8,32,3,0.0,data,True
9,32,4,0.038461538461538464,data,True
10,32,5,0.034482758620689655,data,True
0,33,-5,0.06451612903225806,data,False
1,33,-4,0.0,data,False
2,33,-3,0.05714285714285714,data,False
3,33,-2,0.058823529411764705,data,False
4,33,-1,0.06666666666666667,data,False
5,33,0,,data,False
6,33,1,0.2,data,True
7,33,2,0.037037037037037035,data,True
8,33,3,0.08695652173913043,data,True
